Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
592.0,210.8,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,191.12,1,34174.83539999999,29420.392441381922,29309.6815949642
189.0,196.52,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,191.12,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,191.08,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,192.76,1,34174.83539999999,29420.392441381922,29309.6815949642
264.0,201.88,1,34174.83539999999,29420.392441381922,29309.6815949642
113.0,204.32,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,215.72,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,215.72,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,236.56,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,238.08,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,239.12,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,238.64,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,240.44,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,241.8,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,241.76,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,246.68,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,246.64,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,246.6,1,34174.83539999999,29420.392441381922,29309.6815949642
42.0,254.64,1,34174.83539999999,29420.392441381922,29309.6815949642
42.0,276.76,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,278.8,1,34174.83539999999,29420.392441381922,29309.6815949642
150.0,278.32,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,276.0,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,274.16,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,276.0,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,279.0,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,299.28,1,34174.83539999999,29420.392441381922,29309.6815949642
143.0,301.12,1,34174.83539999999,29420.392441381922,29309.6815949642
135.0,299.4,1,34174.83539999999,29420.392441381922,29309.6815949642
138.0,296.16,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,294.64,1,34174.83539999999,29420.392441381922,29309.6815949642
